step,rollout/return
1024,146.15383911132812
2048,200.0
3072,221.11111450195312
4096,231.74603271484375
5120,222.83950805664062
6144,226.3157958984375
7168,234.0
8192,244.5
9216,235.0
10240,234.5
11264,241.0
12288,243.5
13312,252.5
14336,241.5
15360,248.0
16384,233.5
17408,243.5
18432,219.0
19456,225.5
20480,235.5
21504,238.0
22528,245.5
23552,243.0
24576,258.5
25600,250.0
26624,249.5
27648,244.0
28672,241.0
29696,239.0
30720,228.0
31744,230.5
32768,220.0
33792,224.0
34816,212.5
35840,224.5
36864,239.5
37888,256.0
38912,260.5
39936,260.0
40960,279.0
41984,273.5
43008,263.0
44032,256.5
45056,248.0
46080,264.0
47104,259.0
48128,266.0
49152,261.5
50176,259.0
51200,259.0
52224,249.0
53248,238.0
54272,229.5
55296,235.0
56320,247.5
57344,241.0
58368,251.0
59392,251.0
60416,253.0
61440,247.5
62464,245.5
63488,239.0
64512,235.5
65536,241.5
66560,245.0
67584,250.0
68608,250.0
69632,267.5
70656,268.5
71680,267.5
72704,251.5
73728,245.0
74752,246.5
75776,231.0
76800,237.0
77824,245.5
78848,251.5
79872,251.0
80896,257.5
81920,268.0
82944,272.0
83968,259.0
84992,254.5
86016,251.0
87040,249.0
88064,246.0
89088,244.0
90112,263.0
91136,255.5
92160,257.5
93184,256.0
94208,248.0
95232,241.0
96256,219.5
97280,220.5
98304,226.5
99328,234.0
100352,228.5
101376,236.5
102400,248.5
103424,254.5
104448,251.0
105472,248.0
106496,239.5
107520,241.0
108544,253.0
109568,243.0
110592,241.0
111616,248.0
112640,266.5
113664,272.0
114688,266.5
115712,271.0
116736,269.5
117760,274.5
118784,248.5
119808,236.0
120832,220.0
121856,242.0
122880,243.5
123904,236.5
124928,251.0
125952,256.0
126976,269.0
128000,262.0
129024,262.0
130048,271.0
131072,280.0
132096,287.5
133120,271.0
134144,263.0
135168,258.5
136192,252.0
137216,236.0
138240,239.0
139264,253.0
140288,265.0
141312,284.5
142336,288.0
143360,307.5
144384,304.5
145408,306.5
146432,295.5
147456,279.5
148480,266.0
149504,256.5
150528,266.5
151552,267.0
152576,264.5
153600,280.5
154624,303.0
155648,299.5
156672,298.5
157696,297.0
158720,295.5
159744,285.0
160768,268.0
161792,261.0
162816,252.0
163840,256.5
164864,262.5
165888,260.5
166912,263.0
167936,268.5
168960,266.0
169984,261.0
171008,253.0
172032,248.5
173056,256.5
174080,260.5
175104,273.0
176128,285.5
177152,288.5
178176,278.0
179200,277.0
180224,278.0
181248,262.5
182272,249.5
183296,253.5
184320,261.0
185344,260.0
186368,250.5
187392,260.0
188416,263.0
189440,250.5
190464,262.5
191488,276.5
192512,291.0
193536,292.0
194560,301.5
195584,295.0
196608,307.0
197632,307.5
198656,306.0
199680,306.0
200704,302.5
201728,302.0
202752,309.0
203776,288.0
204800,292.5
205824,292.0
206848,286.5
207872,287.0
208896,284.0
209920,287.5
210944,285.0
211968,287.0
212992,287.5
214016,293.0
215040,285.0
216064,277.0
217088,284.5
218112,281.0
219136,293.0
220160,299.5
221184,319.0
222208,318.5
223232,336.5
224256,325.5
225280,335.5
226304,346.5
227328,317.0
228352,311.0
229376,320.5
230400,312.5
231424,308.0
232448,292.0
233472,298.5
234496,306.5
235520,304.0
236544,282.0
237568,294.5
238592,292.0
239616,310.5
240640,311.5
241664,305.0
242688,305.5
243712,310.5
244736,319.0
245760,314.5
246784,325.0
247808,335.5
248832,352.5
249856,360.5
250880,364.5
251904,361.0
252928,369.5
253952,355.0
254976,345.5
256000,333.0
257024,337.5
258048,346.5
259072,357.5
260096,341.5
261120,356.0
262144,347.5
263168,347.5
264192,366.0
265216,349.5
266240,353.5
267264,362.5
268288,363.5
269312,359.5
270336,370.5
271360,366.0
272384,359.5
273408,358.5
274432,362.5
275456,375.0
276480,380.5
277504,393.0
278528,391.0
279552,405.0
280576,406.5
281600,419.0
282624,422.0
283648,417.5
284672,399.0
285696,400.5
286720,396.5
287744,415.5
288768,391.0
289792,394.5
290816,397.5
291840,396.5
292864,407.0
293888,419.5
294912,414.5
295936,426.0
296960,430.5
297984,426.0
299008,417.5
300032,410.5
301056,410.5
302080,403.0
303104,425.0
304128,414.5
305152,420.5
306176,434.5
307200,446.5
308224,453.0
309248,451.5
310272,456.5
311296,440.5
312320,448.5
313344,461.0
314368,450.5
315392,424.5
316416,433.5
317440,422.5
318464,416.0
319488,411.0
320512,407.5
321536,386.0
322560,408.5
323584,434.5
324608,444.5
325632,452.5
326656,460.0
327680,460.0
328704,464.0
329728,494.0
330752,500.0
331776,486.0
332800,473.0
333824,478.5
334848,491.5
335872,499.0
336896,509.5
337920,524.5
338944,534.0
339968,526.5
340992,514.0
342016,509.5
343040,515.0
344064,494.0
345088,501.0
346112,495.0
347136,469.0
348160,464.5
349184,476.0
350208,512.5
351232,529.5
352256,530.0
353280,555.0
354304,534.5
355328,542.0
356352,543.0
357376,535.0
358400,515.5
359424,526.5
360448,530.0
361472,505.0
362496,509.0
363520,515.5
364544,518.0
365568,527.5
366592,538.0
367616,561.0
368640,556.5
369664,549.0
370688,565.5
371712,568.0
372736,578.0
373760,602.5
374784,599.5
375808,583.0
376832,582.0
377856,585.5
378880,579.5
379904,574.5
380928,568.5
381952,579.0
382976,566.5
384000,571.5
385024,570.0
386048,583.0
387072,566.0
388096,582.0
389120,582.5
390144,588.5
391168,594.5
392192,592.5
393216,598.0
394240,586.5
395264,586.0
396288,575.0
397312,584.0
398336,591.0
399360,593.5
400384,594.5
401408,595.5
402432,604.5
403456,608.5
404480,609.0
405504,628.0
406528,630.0
407552,617.5
408576,615.0
409600,629.5
410624,634.5
411648,633.5
412672,634.0
413696,644.5
414720,659.0
415744,656.0
416768,642.5
417792,640.5
418816,652.0
419840,665.5
420864,687.5
421888,671.5
422912,673.0
423936,710.5
424960,696.5
425984,687.0
427008,672.0
428032,666.5
429056,677.0
430080,679.0
431104,664.0
432128,650.0
433152,636.0
434176,628.0
435200,596.5
436224,603.0
437248,593.5
438272,589.5
439296,587.5
440320,595.0
441344,594.5
442368,614.5
443392,625.5
444416,638.0
445440,647.5
446464,666.5
447488,658.0
448512,663.5
449536,684.5
450560,707.0
451584,699.0
452608,711.5
453632,718.5
454656,708.0
455680,736.0
456704,744.5
457728,746.0
458752,750.0
459776,758.0
460800,781.0
461824,794.5
462848,803.0
463872,810.0
464896,816.5
465920,808.5
466944,814.5
467968,811.5
468992,786.5
470016,787.0
471040,776.5
472064,756.0
473088,718.0
474112,707.5
475136,694.0
476160,690.5
477184,694.0
478208,681.0
479232,685.5
480256,693.0
481280,692.5
482304,690.5
483328,705.5
484352,717.5
485376,727.0
486400,762.0
487424,775.5
488448,788.5
489472,796.0
490496,797.0
491520,814.5
492544,812.5
493568,821.5
494592,832.5
495616,842.5
496640,845.0
497664,839.0
498688,839.0
499712,824.5
500736,840.5
501760,853.5
502784,849.0
503808,838.0
504832,848.0
505856,837.5
506880,835.5
507904,866.5
508928,861.0
509952,867.0
510976,873.0
512000,886.5
513024,893.0
514048,886.0
515072,883.0
516096,886.0
517120,897.0
518144,899.0
519168,903.5
520192,904.0
521216,900.5
522240,894.0
523264,900.5
524288,866.0
525312,872.0
526336,880.0
527360,872.5
528384,876.5
529408,887.5
530432,879.0
531456,864.5
532480,874.5
533504,862.0
534528,874.0
535552,900.5
536576,901.5
537600,875.5
538624,860.0
539648,883.0
540672,871.0
541696,868.5
542720,896.5
543744,894.0
544768,896.5
545792,918.0
546816,931.0
547840,940.0
548864,963.0
549888,969.0
550912,957.0
551936,969.5
552960,981.0
553984,1009.5
555008,1006.5
556032,1012.5
557056,1021.5
558080,1027.5
559104,1023.5
560128,1017.5
561152,1003.0
562176,1008.0
563200,1015.0
564224,993.5
565248,992.0
566272,966.5
567296,965.5
568320,944.0
569344,956.0
570368,946.0
571392,964.0
572416,965.5
573440,957.5
574464,948.5
575488,949.0
576512,944.0
577536,934.5
578560,946.5
579584,942.5
580608,955.0
581632,976.5
582656,979.0
583680,980.5
584704,1005.0
585728,1015.0
586752,1012.5
587776,1038.0
588800,1025.0
589824,1032.0
590848,1046.0
591872,1041.5
592896,1035.5
593920,1022.0
594944,1039.5
595968,1039.5
596992,1034.5
598016,1011.0
599040,1022.0
600064,1004.5
601088,972.5
602112,972.5
603136,965.0
604160,972.0
605184,982.5
606208,980.5
607232,958.5
608256,983.5
609280,981.0
610304,978.5
611328,998.0
612352,994.0
613376,1019.5
614400,1023.5
615424,1018.5
616448,1032.5
617472,1041.0
618496,1023.5
619520,1018.0
620544,1012.0
621568,1009.5
622592,1032.0
623616,972.5
624640,956.5
625664,940.0
626688,942.0
627712,922.5
628736,903.5
629760,895.5
630784,903.5
631808,913.0
632832,905.0
633856,914.5
634880,946.0
635904,964.5
636928,953.0
637952,966.5
638976,1003.0
640000,1022.5
641024,1028.5
642048,1018.5
643072,1021.5
644096,1023.5
645120,1030.5
646144,1012.5
647168,1011.5
648192,1046.0
649216,1038.5
650240,1024.5
651264,1030.5
652288,1037.5
653312,1046.0
654336,1048.5
655360,1035.0
656384,1042.5
657408,1050.0
658432,1058.0
659456,1075.0
660480,1095.5
661504,1110.5
662528,1100.0
663552,1106.5
664576,1101.5
665600,1135.0
666624,1109.5
667648,1100.5
668672,1099.5
669696,1090.5
670720,1080.5
671744,1104.0
672768,1118.0
673792,1125.0
674816,1136.0
675840,1122.5
676864,1112.0
677888,1115.0
678912,1130.5
679936,1134.5
680960,1153.0
681984,1147.5
683008,1128.0
684032,1143.5
685056,1162.5
686080,1175.0
687104,1169.0
688128,1152.0
689152,1114.0
690176,1091.0
691200,1106.5
692224,1096.0
693248,1097.5
694272,1097.0
695296,1086.5
696320,1068.5
697344,1052.5
698368,1031.0
699392,1036.0
700416,1044.0
701440,1028.5
702464,1057.0
703488,1054.5
704512,1056.5
705536,1070.5
706560,1078.5
707584,1080.0
708608,1110.5
709632,1090.5
710656,1083.5
711680,1113.5
712704,1117.0
713728,1130.0
714752,1129.0
715776,1161.5
716800,1156.0
717824,1131.0
718848,1141.0
719872,1162.0
720896,1127.5
721920,1136.0
722944,1132.5
723968,1145.0
