step,time/fps
1024,1117.0
2048,999.0
3072,1007.0
4096,1004.0
5120,1009.0
6144,1023.0
7168,1020.0
8192,1020.0
9216,1021.0
10240,1024.0
11264,1020.0
12288,1017.0
13312,1019.0
14336,1015.0
15360,1020.0
16384,1021.0
17408,1022.0
18432,1012.0
19456,1013.0
20480,1013.0
21504,1009.0
22528,1011.0
23552,1012.0
24576,1014.0
25600,1011.0
26624,1010.0
27648,1011.0
28672,1008.0
29696,1009.0
30720,1011.0
31744,1007.0
32768,1008.0
33792,1009.0
34816,1010.0
35840,1007.0
36864,1007.0
37888,1006.0
38912,1004.0
39936,1005.0
40960,1005.0
41984,1006.0
43008,1004.0
44032,1004.0
45056,1005.0
46080,1005.0
47104,1005.0
48128,1005.0
49152,1007.0
50176,1005.0
51200,1007.0
52224,1007.0
53248,1005.0
54272,1006.0
55296,1007.0
56320,1007.0
57344,1006.0
58368,1007.0
59392,1007.0
60416,1004.0
61440,1004.0
62464,1005.0
63488,1004.0
64512,1004.0
65536,1004.0
66560,1004.0
67584,1003.0
68608,1004.0
69632,1004.0
70656,1003.0
71680,1003.0
72704,1004.0
73728,1003.0
74752,1002.0
75776,1002.0
76800,1003.0
77824,1001.0
78848,1002.0
79872,1003.0
80896,1003.0
81920,1001.0
82944,1002.0
83968,1002.0
84992,1001.0
86016,1003.0
87040,1004.0
88064,1004.0
89088,1002.0
90112,1002.0
91136,1002.0
92160,1001.0
93184,1001.0
94208,1002.0
95232,1002.0
96256,1002.0
97280,1003.0
98304,1003.0
99328,1002.0
100352,1002.0
101376,1002.0
102400,1000.0
103424,1000.0
104448,1000.0
105472,1000.0
106496,999.0
107520,999.0
108544,1000.0
109568,999.0
110592,999.0
111616,999.0
112640,999.0
113664,998.0
114688,999.0
115712,999.0
116736,998.0
117760,999.0
118784,999.0
119808,1000.0
120832,999.0
121856,1000.0
122880,1000.0
123904,999.0
124928,999.0
125952,1000.0
126976,1000.0
128000,999.0
129024,1000.0
130048,1000.0
131072,999.0
132096,1000.0
133120,1000.0
134144,999.0
135168,999.0
136192,999.0
137216,1000.0
138240,1000.0
139264,1000.0
140288,1000.0
141312,999.0
142336,1000.0
143360,1000.0
144384,1000.0
145408,999.0
146432,999.0
147456,999.0
148480,999.0
149504,999.0
150528,999.0
151552,999.0
152576,999.0
153600,999.0
154624,999.0
155648,999.0
156672,999.0
157696,999.0
158720,999.0
159744,998.0
160768,998.0
161792,999.0
162816,998.0
163840,998.0
164864,998.0
165888,998.0
166912,998.0
167936,999.0
168960,999.0
169984,998.0
171008,998.0
172032,999.0
173056,998.0
174080,998.0
175104,998.0
176128,999.0
177152,999.0
178176,999.0
179200,999.0
180224,999.0
181248,999.0
182272,999.0
183296,1000.0
184320,999.0
185344,1000.0
186368,1000.0
187392,999.0
188416,1000.0
189440,1000.0
190464,1000.0
191488,1000.0
192512,1000.0
193536,1000.0
194560,1000.0
195584,1000.0
196608,1000.0
197632,1000.0
198656,1000.0
199680,1000.0
200704,942.0
201728,941.0
202752,942.0
203776,942.0
204800,941.0
205824,942.0
206848,942.0
207872,942.0
208896,942.0
209920,942.0
210944,943.0
211968,943.0
212992,943.0
214016,943.0
215040,944.0
216064,944.0
217088,944.0
218112,945.0
219136,944.0
220160,945.0
221184,945.0
222208,946.0
223232,946.0
224256,946.0
225280,947.0
226304,947.0
227328,947.0
228352,947.0
229376,948.0
230400,948.0
231424,948.0
232448,948.0
233472,948.0
234496,948.0
235520,949.0
236544,948.0
237568,949.0
238592,949.0
239616,949.0
240640,949.0
241664,949.0
242688,949.0
243712,949.0
244736,949.0
245760,950.0
246784,950.0
247808,950.0
248832,950.0
249856,950.0
