step,rollout/return
4096,-23.714284896850586
5120,-23.75
6144,-23.75
7168,-23.727272033691406
8192,-23.75
9216,-23.75
10240,-23.66666603088379
11264,-23.69565200805664
12288,-23.70833396911621
13312,-23.70833396911621
14336,-23.733333587646484
15360,-23.74193572998047
16384,-23.75
17408,-23.764705657958984
18432,-23.789474487304688
19456,-23.799999237060547
20480,-23.799999237060547
21504,-23.822221755981445
22528,-23.808509826660156
23552,-23.8125
24576,-23.81999969482422
25600,-23.81818199157715
26624,-23.821428298950195
27648,-23.827587127685547
28672,-23.838708877563477
29696,-23.841270446777344
30720,-23.830768585205078
31744,-23.8358211517334
32768,-23.83098602294922
33792,-23.83333396911621
34816,-23.8266658782959
35840,-23.81818199157715
36864,-23.8125
37888,-23.817073822021484
38912,-23.809524536132812
39936,-23.80681800842285
40960,-23.808988571166992
41984,-23.799999237060547
43008,-23.776596069335938
44032,-23.75789451599121
45056,-23.75789451599121
46080,-23.75
47104,-23.739999771118164
48128,-23.739999771118164
49152,-23.739999771118164
50176,-23.75
51200,-23.760000228881836
52224,-23.760000228881836
53248,-23.770000457763672
54272,-23.790000915527344
55296,-23.790000915527344
56320,-23.790000915527344
57344,-23.799999237060547
58368,-23.790000915527344
59392,-23.790000915527344
60416,-23.790000915527344
61440,-23.790000915527344
62464,-23.780000686645508
63488,-23.770000457763672
64512,-23.770000457763672
65536,-23.770000457763672
66560,-23.770000457763672
67584,-23.780000686645508
68608,-23.780000686645508
69632,-23.780000686645508
70656,-23.780000686645508
71680,-23.790000915527344
72704,-23.780000686645508
73728,-23.780000686645508
74752,-23.780000686645508
75776,-23.780000686645508
76800,-23.780000686645508
77824,-23.780000686645508
78848,-23.780000686645508
79872,-23.780000686645508
80896,-23.780000686645508
81920,-23.780000686645508
82944,-23.780000686645508
83968,-23.780000686645508
84992,-23.780000686645508
86016,-23.780000686645508
87040,-23.780000686645508
88064,-23.760000228881836
89088,-23.760000228881836
90112,-23.760000228881836
91136,-23.760000228881836
92160,-23.760000228881836
93184,-23.760000228881836
94208,-23.760000228881836
95232,-23.760000228881836
96256,-23.760000228881836
97280,-23.760000228881836
98304,-23.760000228881836
99328,-23.760000228881836
100352,-23.760000228881836
101376,-23.760000228881836
102400,-23.760000228881836
103424,-23.760000228881836
104448,-23.760000228881836
105472,-23.760000228881836
106496,-23.760000228881836
107520,-23.760000228881836
108544,-23.760000228881836
109568,-23.760000228881836
110592,-23.760000228881836
111616,-23.760000228881836
112640,-23.760000228881836
113664,-23.760000228881836
114688,-23.760000228881836
115712,-23.760000228881836
116736,-23.760000228881836
117760,-23.760000228881836
118784,-23.760000228881836
119808,-23.760000228881836
120832,-23.760000228881836
121856,-23.760000228881836
122880,-23.760000228881836
123904,-23.760000228881836
124928,-23.760000228881836
125952,-23.760000228881836
126976,-23.700000762939453
128000,-23.700000762939453
129024,-23.700000762939453
130048,-23.6299991607666
131072,-23.6299991607666
132096,-23.6299991607666
133120,-23.40999984741211
134144,-23.40999984741211
135168,-23.40999984741211
136192,-23.25
137216,-23.18000030517578
138240,-23.18000030517578
139264,-23.18000030517578
140288,-23.18000030517578
141312,-23.18000030517578
142336,-23.020000457763672
143360,-23.020000457763672
144384,-23.020000457763672
145408,-23.020000457763672
146432,-23.020000457763672
147456,-23.020000457763672
148480,-23.020000457763672
149504,-23.020000457763672
150528,-23.020000457763672
151552,-23.020000457763672
152576,-23.020000457763672
153600,-23.020000457763672
154624,-23.020000457763672
155648,-23.020000457763672
156672,-23.020000457763672
157696,-23.020000457763672
158720,-23.020000457763672
159744,-23.020000457763672
160768,-23.020000457763672
161792,-22.799999237060547
162816,-22.799999237060547
163840,-22.799999237060547
164864,-22.799999237060547
165888,-22.799999237060547
166912,-22.799999237060547
167936,-22.799999237060547
168960,-22.799999237060547
169984,-22.799999237060547
171008,-22.579999923706055
172032,-22.579999923706055
173056,-22.579999923706055
174080,-22.579999923706055
175104,-22.579999923706055
176128,-22.579999923706055
177152,-22.579999923706055
178176,-22.579999923706055
179200,-22.579999923706055
180224,-22.3700008392334
181248,-22.3700008392334
182272,-22.3700008392334
183296,-22.290000915527344
184320,-22.290000915527344
185344,-22.290000915527344
186368,-22.059999465942383
187392,-22.059999465942383
188416,-22.059999465942383
189440,-21.850000381469727
190464,-21.639999389648438
191488,-21.639999389648438
192512,-21.639999389648438
193536,-21.639999389648438
194560,-21.639999389648438
195584,-21.40999984741211
196608,-21.40999984741211
197632,-21.40999984741211
198656,-21.40999984741211
199680,-21.40999984741211
200704,-21.40999984741211
201728,-21.40999984741211
202752,-21.40999984741211
203776,-21.40999984741211
204800,-21.40999984741211
205824,-21.40999984741211
206848,-21.40999984741211
207872,-21.40999984741211
208896,-21.40999984741211
209920,-21.40999984741211
210944,-21.40999984741211
211968,-21.40999984741211
212992,-21.40999984741211
214016,-21.40999984741211
215040,-21.40999984741211
216064,-21.209999084472656
217088,-21.209999084472656
218112,-21.209999084472656
219136,-21.209999084472656
220160,-21.209999084472656
221184,-21.209999084472656
222208,-21.209999084472656
223232,-21.209999084472656
224256,-21.209999084472656
225280,-20.979999542236328
226304,-20.979999542236328
227328,-20.979999542236328
228352,-20.979999542236328
229376,-20.979999542236328
230400,-20.979999542236328
231424,-20.979999542236328
232448,-20.979999542236328
233472,-20.979999542236328
234496,-20.770000457763672
235520,-20.770000457763672
236544,-20.770000457763672
237568,-20.540000915527344
238592,-20.540000915527344
239616,-20.540000915527344
240640,-20.329999923706055
241664,-20.329999923706055
242688,-20.329999923706055
243712,-20.110000610351562
244736,-19.979999542236328
245760,-19.979999542236328
246784,-19.979999542236328
247808,-19.979999542236328
248832,-19.979999542236328
249856,-19.770000457763672
250880,-19.770000457763672
251904,-19.770000457763672
252928,-19.770000457763672
253952,-19.770000457763672
254976,-19.770000457763672
256000,-19.770000457763672
257024,-19.770000457763672
258048,-19.770000457763672
259072,-19.770000457763672
260096,-19.770000457763672
261120,-19.770000457763672
262144,-19.770000457763672
263168,-19.770000457763672
264192,-19.770000457763672
265216,-19.770000457763672
266240,-19.770000457763672
267264,-19.770000457763672
268288,-19.770000457763672
269312,-19.6299991607666
270336,-19.6299991607666
271360,-19.6299991607666
272384,-19.6299991607666
273408,-19.6299991607666
274432,-19.6299991607666
275456,-19.6299991607666
276480,-19.6299991607666
277504,-19.6299991607666
278528,-19.6299991607666
279552,-19.43000030517578
280576,-19.43000030517578
281600,-19.43000030517578
282624,-19.43000030517578
283648,-19.43000030517578
284672,-19.43000030517578
285696,-19.43000030517578
286720,-19.43000030517578
287744,-19.43000030517578
288768,-19.209999084472656
289792,-19.209999084472656
290816,-19.209999084472656
291840,-19.049999237060547
292864,-19.049999237060547
293888,-19.049999237060547
294912,-18.850000381469727
295936,-18.850000381469727
296960,-18.850000381469727
297984,-18.700000762939453
299008,-18.540000915527344
300032,-18.540000915527344
301056,-18.540000915527344
302080,-18.540000915527344
303104,-18.540000915527344
